database_id	genome_id
lactococcus_00001	1364.36
lactococcus_00002	1215915.3
lactococcus_00003	1364.33
lactococcus_00004	1360.106
lactococcus_00005	2025039.3
lactococcus_00006	1122154.8
lactococcus_00007	1122154.4
lactococcus_00008	1360.317
lactococcus_00009	1365.4
lactococcus_00010	1360.386
lactococcus_00011	1358.383
lactococcus_00012	297352.8
lactococcus_00013	1091040.5
lactococcus_00014	1231377.3
lactococcus_00015	1223498.3
lactococcus_00016	1359.33
lactococcus_00017	1359.38
lactococcus_00018	1359.39
lactococcus_00019	1359.69
lactococcus_00020	1360.185
lactococcus_00021	1360.89
lactococcus_00022	272622.10
lactococcus_00023	420889.13
lactococcus_00024	420889.6
lactococcus_00025	420890.5
lactococcus_00026	44688.18
lactococcus_00027	1449093.3
lactococcus_00028	1358.382
lactococcus_00029	1360.103
lactococcus_00030	1358.50
lactococcus_00031	1359.20
lactococcus_00032	1358.381
lactococcus_00033	1360.96
lactococcus_00034	1360.193
lactococcus_00035	1360.101
lactococcus_00036	1358.66
lactococcus_00037	1360.109
lactococcus_00038	1359.37
lactococcus_00039	1415168.3
lactococcus_00040	1360.385
lactococcus_00041	1358.185
lactococcus_00042	1358.374
lactococcus_00043	1360.114
lactococcus_00044	1360.186
lactococcus_00045	1046624.4
lactococcus_00046	1359.42
lactococcus_00047	1360.150
lactococcus_00048	1360.97
lactococcus_00049	1042402.4
lactococcus_00050	1360.104
lactococcus_00051	1295826.3
lactococcus_00052	1149132.3
lactococcus_00053	1360.116
lactococcus_00054	1363.79
lactococcus_00055	1946735.3
lactococcus_00056	1363.58
lactococcus_00057	1360.94
lactococcus_00058	1358.140
lactococcus_00059	44688.14
lactococcus_00060	1234601.3
lactococcus_00061	1363.18
lactococcus_00062	1363.19
lactococcus_00063	1363.32
lactococcus_00064	1366.4
lactococcus_00065	1364.29
lactococcus_00066	1364.34
lactococcus_00067	203404.4
lactococcus_00068	1348656.3
lactococcus_00069	1122154.9
lactococcus_00070	1358.141
lactococcus_00071	1283280.3
lactococcus_00072	1360.117
lactococcus_00073	1360.91
lactococcus_00074	1348632.3
lactococcus_00075	1408260.3
lactococcus_00076	1390360.3
lactococcus_00077	1295827.3
lactococcus_00078	1358.375
lactococcus_00079	1358.377
lactococcus_00080	1360.187
lactococcus_00081	1359.67
lactococcus_00082	1091039.4
lactococcus_00083	1229517.3
lactococcus_00084	998087.5
lactococcus_00085	913847.4
lactococcus_00086	1363.37
lactococcus_00087	1363.34
lactococcus_00088	1359.41
lactococcus_00089	1358.378
lactococcus_00090	1360.128
lactococcus_00091	1359.43
lactococcus_00092	1348655.3
lactococcus_00093	1360.115
lactococcus_00094	1111678.3
lactococcus_00095	420889.12
lactococcus_00096	1360.108
lactococcus_00097	1358.380
lactococcus_00098	1360.188
lactococcus_00099	1236944.5
lactococcus_00100	1359.70
lactococcus_00101	1359.218
lactococcus_00102	1358.187
lactococcus_00103	1360.105
lactococcus_00104	1360.110
lactococcus_00105	1360.118
lactococcus_00106	416870.9
lactococcus_00107	1359.35
lactococcus_00108	1359.36
lactococcus_00109	1359.22
lactococcus_00110	1360.112
lactococcus_00111	1360.107
lactococcus_00112	1360.111
lactococcus_00113	929102.3
lactococcus_00114	1379274.5
lactococcus_00115	542833.3
lactococcus_00116	1360.99
lactococcus_00117	684738.3
lactococcus_00118	1360.189
lactococcus_00119	1359.66
lactococcus_00120	1360.457
lactococcus_00121	1358.58
lactococcus_00122	1358.124
lactococcus_00123	1358.178
lactococcus_00124	1358.179
lactococcus_00125	1358.180
lactococcus_00126	1940789.3
lactococcus_00127	1946732.3
lactococcus_00128	1946733.3
lactococcus_00129	1946734.3
lactococcus_00130	1363.47
lactococcus_00131	1017266.3
lactococcus_00132	44688.15
lactococcus_00133	1104322.3
lactococcus_00134	1366.7
lactococcus_00135	1360.192
lactococcus_00136	1360.184
lactococcus_00137	1181234.4
lactococcus_00138	1358.188
lactococcus_00139	1358.186
lactococcus_00140	1348633.3
lactococcus_00141	1358.376
lactococcus_00142	1359.40
lactococcus_00143	1776443.3
lactococcus_00144	1940789.4
lactococcus_00145	1229518.3
lactococcus_00146	1359.32
lactococcus_00147	1360.387
lactococcus_00148	1358.184
lactococcus_00149	1360.100
lactococcus_00150	1360.260
lactococcus_00151	1359.68
lactococcus_00152	1359.65
lactococcus_00153	1358.88
lactococcus_00154	1359.118
lactococcus_00155	1359.117
lactococcus_00156	1358.379
lactococcus_00157	272623.7
lactococcus_00158	1360.261
lactococcus_00159	1360.318
lactococcus_00160	1360.463
lactococcus_00161	746361.3
lactococcus_00162	1359.34
lactococcus_00163	1358.410
lactococcus_00164	1399116.3
lactococcus_00165	1358.51
lactococcus_00166	1360.98
lactococcus_00167	1360.102
lactococcus_00168	1360.113
lactococcus_00169	1234873.3
lactococcus_00170	1360.190
lactococcus_00171	1360.191
lactococcus_00172	1363.60
lactococcus_00173	1358.143
lactococcus_00174	1358.177
lactococcus_00175	1358.182
lactococcus_00176	1363.59
lactococcus_00177	1363.85
lactococcus_00178	44273.8
lactococcus_00179	1359.217
lactococcus_00180	2169526.3
lactococcus_00182	1890280.3
lactococcus_00181	2603290.3
lactococcus_00183	2419773.3
lactococcus_00184	2592653.3
lactococcus_00186	2507158.3
lactococcus_00185	2603289.3
lactococcus_00187	1291764.5
lactococcus_00188	1494462.5
